City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
57,ilulissat,69.2167,-51.1,-21.99,59,0,2.57,GL,1675880486
58,haines junction,60.7522,-137.5108,-17.03,78,97,1.03,CA,1675880525
59,salalah,17.0151,54.0924,24.05,78,0,0.0,OM,1675880525
60,ushtobe,45.2514,77.9838,-4.37,84,100,2.16,KZ,1675880526
61,mahebourg,-20.4081,57.7,26.25,83,40,2.06,MU,1675880527
62,atuona,-9.8,-139.0333,26.18,80,18,8.48,PF,1675880268
63,aklavik,68.2191,-135.0107,-29.0,76,100,0.0,CA,1675880527
64,waipawa,-41.4122,175.5153,11.5,87,3,2.46,NZ,1675880263
65,ossora,59.2353,163.0719,-18.47,98,100,4.61,RU,1675880530
66,yellowknife,62.456,-114.3525,-24.69,77,20,2.06,CA,1675880530
67,sitka,57.0531,-135.33,1.94,87,100,2.06,US,1675880531
68,palana,59.1167,159.9667,-25.61,96,98,6.51,RU,1675880532
69,jining,35.405,116.5814,4.21,66,100,3.28,CN,1675880533
70,mahon,39.8885,4.2658,10.31,57,20,5.14,ES,1675880534
71,bundaberg,-24.85,152.35,22.34,93,77,1.34,AU,1675880535
72,nome,64.5011,-165.4064,-18.96,84,100,0.0,US,1675880493
73,dunedin,-45.8742,170.5036,10.03,62,9,7.77,NZ,1675880535
74,selma,36.5708,-119.6121,12.88,87,0,2.06,US,1675880536
75,catia la mar,10.6038,-67.0303,29.99,76,50,4.1,VE,1675880537
76,mertert,49.6961,6.4814,2.46,58,0,2.0,LU,1675880537
77,mihai bravu,44.1406,26.0628,-0.66,76,85,4.73,RO,1675880538
78,tabas,33.5959,56.9244,13.12,30,11,4.12,IR,1675880538
79,dawson creek,55.7666,-120.2362,-2.2,69,0,3.6,CA,1675880539
80,republic,37.12,-93.4802,7.43,85,100,3.09,US,1675880540
81,upernavik,72.7868,-56.1549,-31.55,88,22,1.76,GL,1675880540
82,mar del plata,-38.0023,-57.5575,31.02,51,0,4.12,AR,1675880541
83,vaini,-21.2,-175.2,25.09,94,75,2.57,TO,1675880542
84,faanui,-16.4833,-151.75,26.84,75,24,4.76,PF,1675880543
85,solnechnyy,50.7214,136.6319,-27.98,98,96,1.33,RU,1675880543
86,olkusz,50.2813,19.565,-3.34,95,15,1.83,PL,1675880544
87,hilo,19.7297,-155.09,21.08,91,100,2.57,US,1675880545
88,cidreira,-30.1811,-50.2056,27.15,72,3,6.12,BR,1675880545
89,broome,42.2506,-75.833,7.04,59,0,4.63,US,1675880545
90,eydhafushi,5.1033,73.0708,27.21,69,100,2.31,MV,1675880546
91,pataskala,39.9956,-82.6743,8.15,68,0,1.54,US,1675880547
92,igurubi,-4.0,33.7,19.2,89,99,4.42,TZ,1675880549
93,evensk,61.95,159.2333,-28.94,74,14,4.68,RU,1675880379
94,mataura,-46.1927,168.8643,9.15,94,89,3.38,NZ,1675880549
95,three hills,51.7001,-113.2686,-0.77,89,100,4.63,CA,1675880427
96,sao luiz gonzaga,-28.4083,-54.9608,39.65,12,1,2.1,BR,1675880377
97,rio gallegos,-51.6226,-69.2181,24.03,31,75,12.35,AR,1675880550
98,pionerskiy,54.9508,20.2275,-0.09,71,92,7.02,RU,1675880551
99,altamont,42.2068,-121.7372,4.32,78,0,2.06,US,1675880308
100,severo-kurilsk,50.6789,156.125,-6.09,67,82,4.11,RU,1675880552
101,coacalco,19.6317,-99.1103,22.15,26,0,0.72,MX,1675880384
